"","Mun","Num_Mun","R-U","Grado","Gen","Situ","Edad","Etnia","Disc","Cocina","Pintura","Aseo","Ropa","Jardineria","ID","Rating"
"58","077","BARBOSA","URBANA","6","F","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,1,0,58,80
"59","077","BARBOSA","URBANA","7","M","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,0,1,59,77
"60","077","BARBOSA","URBANA","7","F","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,0,1,60,77
"61","077","BARBOSA","URBANA","8","M","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,1,0,61,95
"62","077","BARBOSA","URBANA","8","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,62,76
"63","077","BARBOSA","URBANA","8","F","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,0,63,84
"64","077","BARBOSA","URBANA","9","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,1,0,64,97
"65","077","BARBOSA","URBANA","9","M","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,0,1,65,72
"66","077","BARBOSA","URBANA","9","M","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,0,0,66,71
"67","077","BARBOSA","URBANA","9","F","EN SITUACION DE DESPLAZAMIENTO",16,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,0,67,86
"68","077","BARBOSA","URBANA","10","F","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,1,0,68,100
"69","077","BARBOSA","URBANA","10","M","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,1,1,69,79
"70","077","BARBOSA","URBANA","10","M","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,70,81
"71","077","BARBOSA","URBANA","11","M","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,1,71,79
"72","077","BARBOSA","URBANA","11","M","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,0,1,72,84
"73","077","BARBOSA","URBANA","11","M","EN SITUACION DE DESPLAZAMIENTO",19,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,0,1,73,93
"74","077","BARBOSA","URBANA","1","F","EN SITUACION DE DESPLAZAMIENTO",7,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,0,0,74,84
"75","077","BARBOSA","URBANA","2","M","EN SITUACION DE DESPLAZAMIENTO",8,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,1,1,75,96
"76","077","BARBOSA","URBANA","2","M","EN SITUACION DE DESPLAZAMIENTO",8,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,76,100
"77","077","BARBOSA","URBANA","4","M","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,0,1,77,91
"78","077","BARBOSA","URBANA","4","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,1,78,94
"79","077","BARBOSA","URBANA","5","M","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,0,79,71
"80","077","BARBOSA","URBANA","0","F","HIJOS DE ADULTOS DESMOVILIZADO",5,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,1,80,99
"81","077","BARBOSA","URBANA","0","M","EN SITUACION DE DESPLAZAMIENTO",7,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,1,0,81,84
"82","077","BARBOSA","URBANA","2","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,0,0,82,82
"83","077","BARBOSA","URBANA","4","F","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,83,90
"84","077","BARBOSA","URBANA","5","F","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,0,0,84,81
"85","077","BARBOSA","URBANA","5","F","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,85,73
"86","077","BARBOSA","URBANA","24","F","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,1,86,91
"87","077","BARBOSA","URBANA","1","F","EN SITUACION DE DESPLAZAMIENTO",7,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,87,97
"88","077","BARBOSA","URBANA","1","F","EN SITUACION DE DESPLAZAMIENTO",7,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,0,88,98
"89","077","BARBOSA","URBANA","2","M","EN SITUACION DE DESPLAZAMIENTO",7,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,1,89,95
"90","077","BARBOSA","URBANA","3","F","EN SITUACION DE DESPLAZAMIENTO",8,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,1,0,90,99
"91","077","BARBOSA","URBANA","4","F","VICTIMAS DE MINAS",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,91,89
"92","077","BARBOSA","URBANA","5","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,0,1,92,86
"93","077","BARBOSA","URBANA","5","F","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,1,0,93,94
"94","077","BARBOSA","URBANA","1","M","HIJOS DE ADULTOS DESMOVILIZADO",6,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,1,94,75
"95","077","BARBOSA","URBANA","0","F","EN SITUACION DE DESPLAZAMIENTO",5,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,0,95,79
"96","077","BARBOSA","URBANA","3","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,0,1,96,95
"97","077","BARBOSA","URBANA","3","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,1,97,79
"98","077","BARBOSA","URBANA","5","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,1,98,76
"99","077","BARBOSA","URBANA","5","M","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,0,99,98
"100","077","BARBOSA","URBANA","5","M","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,100,88
"101","077","BARBOSA","RURAL","3","M","EN SITUACION DE DESPLAZAMIENTO",8,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,1,101,94
"102","077","BARBOSA","RURAL","4","M","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,1,102,92
"103","077","BARBOSA","RURAL","4","M","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,103,100
"104","077","BARBOSA","RURAL","4","M","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,0,1,104,76
"105","077","BARBOSA","RURAL","5","M","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,1,105,96
"106","077","BARBOSA","RURAL","4","F","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,106,95
"107","077","BARBOSA","RURAL","5","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,1,0,107,95
"108","077","BARBOSA","RURAL","6","M","EN SITUACION DE DESPLAZAMIENTO",11,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,0,108,76
"109","077","BARBOSA","RURAL","6","M","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,1,109,71
"110","077","BARBOSA","RURAL","6","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,1,0,110,74
"111","077","BARBOSA","RURAL","7","M","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,111,95
"112","077","BARBOSA","RURAL","7","M","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,112,75
"113","077","BARBOSA","RURAL","7","F","EN SITUACION DE DESPLAZAMIENTO",13,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,0,0,113,78
"114","077","BARBOSA","RURAL","8","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,114,95
"115","077","BARBOSA","RURAL","8","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,1,115,70
"116","077","BARBOSA","RURAL","8","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,1,116,79
"117","077","BARBOSA","RURAL","8","F","EN SITUACION DE DESPLAZAMIENTO",14,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,0,1,117,76
"118","077","BARBOSA","RURAL","1","M","EN SITUACION DE DESPLAZAMIENTO",6,"EBERA CHAMI","NO TIENE DISCAPACIDAD",0,0,1,1,1,118,79
"119","077","BARBOSA","RURAL","3","M","EN SITUACION DE DESPLAZAMIENTO",8,"EMBERA","NO TIENE DISCAPACIDAD",0,0,1,1,0,119,70
"120","077","BARBOSA","URBANA","5","M","DESVINCULADOS DE GRUPOS ARMADO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,0,1,120,85
"121","077","BARBOSA","URBANA","26","M","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,1,121,94
"122","077","BARBOSA","URBANA","26","M","EN SITUACION DE DESPLAZAMIENTO",16,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,0,0,122,91
"123","077","BARBOSA","URBANA","26","F","EN SITUACION DE DESPLAZAMIENTO",16,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,1,0,123,96
"124","077","BARBOSA","URBANA","23","M","EN SITUACION DE DESPLAZAMIENTO",18,"NEGRITUDES","NO TIENE DISCAPACIDAD",1,0,1,0,0,124,77
"125","077","BARBOSA","URBANA","23","M","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,0,1,125,87
"126","077","BARBOSA","URBANA","23","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,1,0,126,76
"127","077","BARBOSA","URBANA","24","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,1,127,85
"128","077","BARBOSA","URBANA","24","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,1,128,74
"129","077","BARBOSA","URBANA","24","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,1,129,98
"130","077","BARBOSA","URBANA","26","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,1,0,0,130,100
"131","077","BARBOSA","RURAL","24","M","DESVINCULADOS DE GRUPOS ARMADO",26,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,0,0,131,100
"132","077","BARBOSA","RURAL","25","F","EN SITUACION DE DESPLAZAMIENTO",50,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,1,0,1,0,132,81
"133","079","BARICHARA","URBANA","24","F","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,1,1,133,93
"134","079","BARICHARA","URBANA","26","F","EN SITUACION DE DESPLAZAMIENTO",21,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,134,87
"135","079","BARICHARA","URBANA","11","M","EN SITUACION DE DESPLAZAMIENTO",18,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,0,0,135,74
"136","079","BARICHARA","URBANA","11","M","EN SITUACION DE DESPLAZAMIENTO",17,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,1,136,79
"137","079","BARICHARA","URBANA","6","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,0,1,137,94
"138","079","BARICHARA","URBANA","7","M","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,0,0,1,138,87
"139","079","BARICHARA","URBANA","7","M","EN SITUACION DE DESPLAZAMIENTO",12,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,0,0,139,84
"140","079","BARICHARA","URBANA","8","F","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,0,0,140,87
"141","079","BARICHARA","URBANA","9","F","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,0,141,95
"142","079","BARICHARA","URBANA","9","M","EN SITUACION DE DESPLAZAMIENTO",15,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,1,0,0,142,78
"143","079","BARICHARA","URBANA","0","F","EN SITUACION DE DESPLAZAMIENTO",5,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,1,143,96
"144","079","BARICHARA","URBANA","0","M","EN SITUACION DE DESPLAZAMIENTO",4,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,1,0,144,80
"145","079","BARICHARA","URBANA","3","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,145,82
"146","079","BARICHARA","URBANA","3","F","EN SITUACION DE DESPLAZAMIENTO",8,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,1,1,0,146,100
"147","079","BARICHARA","URBANA","4","F","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",0,0,0,1,1,147,85
"148","079","BARICHARA","URBANA","5","F","EN SITUACION DE DESPLAZAMIENTO",10,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,1,1,0,1,148,97
"149","079","BARICHARA","RURAL","3","F","EN SITUACION DE DESPLAZAMIENTO",9,"NINGUN GRUPO ETNICO","NO TIENE DISCAPACIDAD",1,0,0,1,1,149,86
